CODIGO,DESCRIPCION
135061,VALVULAS CUCHILLO MOLYKOTE
724617,NUTO 32 208LTS
743119,NUTO 32 19LTS
657528,NUTO 46 19LTS
657031,NUTO 46 208LTS
657510,XHP222 TINETA
657023,XHP222 TAMBOR
656884,ATF220 19LTS
758084,VASOS PARA BOMBA ACUMIN CANISTER 250
744049,MINI LUBER MODEL 125 CC
169771,YELLOW CLEANER
537746,FILTRO SILICA GEL
758081,VASOS PARA BOMBA ACUMIN CANISTER 120
153718,"EMPAQUETADURA DE TEFLON 1/8""X60""X60"""
37044,Zuncho 3/8
37077,Hebilla 3/8
153569,EMPAQUE DE GRAFITO 1/2
153551,EMPAQUE DE GRAFITO 5/8
350363,EMPAQUE DE GRAFITO 3/4
166801,LUBRICADOR AUTOMATICO 150 GRS
755430,ACEITE RXD
657411,Mobiliux EP2 Tambor
568782,VASO LUBRICADOR JUMBO
686733,"JUEGO FLEXIBLES HIDRAULICOS, CON CHAQUETA ACERO INOXIDABLE, PARA AGUA DE SELLO, SEGUN PLANO 311-ME-079"
657064,SHC POLYREX 103
758641, EXTENSORES
668160, ABRAZADERA STAUFF 1/2
655217, ABRAZADERA STAUFF 3/4
655225, ABRAZADERA STAUFF 1
669523, ABRAZADERA STAUFF 1.1/4
413872, VALVULA VELAN 2
292839, PROTECCION LAUREL
